Entity,Code,Death_rate
Tanzania,TZA,0.770293082
Thailand,THA,1.876095968
Timor,TLS,1.070413068
Togo,TGO,1.125521163
Tonga,TON,0.808090692
Trinidad and Tobago,TTO,1.38250855
Tropical Latin America,,1.052046054
Tunisia,TUN,0.568281123
Turkey,TUR,0.710314856
Turkmenistan,TKM,1.32784224
Uganda,UGA,0.872043683
Ukraine,UKR,1.982766657
United Arab Emirates,ARE,2.266213146
United Kingdom,GBR,0.949908246
United States,USA,1.707624259
United States Virgin Islands,VIR,0.739444222
Uruguay,URY,2.017703074
Uzbekistan,UZB,1.478298394
Vanuatu,VUT,2.023306904
Venezuela,VEN,1.611959423
Vietnam,VNM,1.229130491
Wales,,0.955513306
Western Europe,,1.216645065
Western Sub-Saharan Africa,,0.668030918
World,OWID_WRL,1.41891885
Yemen,YEM,0.891254916
Zambia,ZMB,0.981105186
Zimbabwe,ZWE,2.250242033
